слива;;0.80;;0.00;;9.60;;43.00;;25.00
сливки 10% жирности;;3.00;;10.00;;4.00;;118.00;;52.00
сливки 20% жирности;;2.80;;20.00;;3.70;;206.00;;54.00
сливки 35% жирности;;2.50;;35.00;;3.00;;337.00;;55.00
сливки взбитые с ванилью;;2.80;;28.00;;21.60;;346.00;;55.00
сливочное мороженное;;3.30;;10.00;;19.80;;179.00;;85.00
сметана 10% жирности;;3.00;;10.00;;2.90;;115.00;;55.00
сметана 20% жирности;;2.80;;20.00;;3.20;;206.00;;56.00
сметана 25% жирности;;2.60;;25.00;;2.70;;248.00;;65.00
сметана 30% жирности;;2.40;;30.00;;3.10;;294.00;;65.00
смородина белая;;0.30;;0.00;;8.00;;38.00;;35.00
смородина красная;;0.60;;0.20;;7.30;;39.00;;30.00
смородина черная;;1.00;;0.20;;7.30;;38.00;;32.00
сморчки;;2.90;;0.40;;0.20;;16.00;;0.00
соломка сладкая;;9.70;;6.00;;69.20;;373.00;;86.00
сом;;18.40;;13.60;;0.00;;196.00;;0.00
сосиски говяжьи;;10.40;;20.10;;0.80;;226.00;;0.00
сосиски любительские;;9.00;;29.50;;0.70;;304.00;;0.00
сосиски молочные;;11.00;;23.90;;1.60;;266.00;;0.00
сосиски особые;;11.80;;24.70;;0.00;;270.00;;0.00
соя сушеная;;34.90;;17.30;;9.20;;332.00;;0.00
спаржа;;1.90;;0.10;;3.20;;21.00;;0.00
ставрида;;20.60;;5.60;;0.00;;133.00;;0.00
судак;;21.30;;1.30;;0.00;;97.00;;0.00
сулугуни;;14.60;;22.00;;0.00;;285.00;;48.00
сушка простая;;10.90;;1.30;;68.00;;225.00;;74.00
сыр голландский;;26.00;;26.80;;0.00;;352.00;;56.00
сыр костромской;;25.20;;26.30;;0.00;;345.00;;56.00
сыр плавленый колбасный копченый;;23.00;;19.00;;0.00;;270.00;;56.00
сыр плавленый российский;;22.00;;27.00;;0.00;;340.00;;57.00
сыр пошехонский;;26.00;;26.50;;0.00;;350.00;;56.00
сыр прибалтийский;;30.00;;9.00;;0.00;;209.00;;56.00
сыр рокфор;;20.00;;28.00;;0.00;;337.00;;56.00
сыр российский;;23.00;;29.00;;0.00;;360.00;;56.00
сыр чеддер;;23.50;;30.50;;0.00;;379.00;;56.00
сыр швейцарский;;24.90;;31.80;;0.00;;396.00;;56.00
сыр эстонский;;26.00;;26.50;;0.00;;350.00;;56.00
сыр ярославский;;26.80;;27.30;;0.00;;361.00;;56.00
сырки глазированые;;8.50;;27.80;;32.00;;407.00;;52.00
сыроежки;;1.70;;0.70;;1.50;;15.00;;0.00
творог 18% жирности;;14.00;;18.00;;2.80;;232.00;;52.00
творог 2% жирности;;17.00;;2.00;;1.50;;115.00;;50.00
творог нежирный.;;18.00;;0.60;;1.80;;88.00;;51.00
тесто дрожжевое;;6.80;;2.30;;48.00;;244.00;;89.00
тесто дрожжевое сдобное;;7.50;;7.60;;45.30;;283.00;;86.00
тесто слоеное пресное;;6.00;;18.60;;36.80;;344.00;;74.00
толокно;;11.50;;6.00;;50.20;;306.00;;0.00
торт бисквитный с орехово-сливочным кремом;;5.60;;20.00;;58.80;;391.00;;85.00
торт бисквитный с фруктовой начинкой;;4.70;;11.80;;49.80;;356.00;;84.00
торт бисквитный с шоколадным кремом;;4.04;;12.40;;53.60;;335.00;;84.00
торт слоеный с кремом;;5.00;;37.40;;44.00;;533.00;;86.00
треска;;17.80;;0.70;;0.00;;78.00;;0.00
тунец консервированный;;22.70;;0.70;;0.00;;96.00;;0.00
укроп;;2.50;;0.50;;4.10;;31.00;;0.00
утка;;19.70;;18.80;;0.00;;248.00;;0.00
фасоль;;3.00;;0.30;;3.00;;31.00;;40.00
фасоль сушеная;;21.00;;2.00;;46.60;;292.00;;30.00
