баранина (лопатка);;15.60;;25.00;;0.00;;284.00;;0.00
баранина (окорок);;18.00;;18.00;;0.00;;232.00;;0.00
баранина (печень);;18.70;;2.90;;0.00;;101.00;;0.00
баранина (почки);;13.60;;2.50;;0.00;;77.00;;0.00
баранина (сердце);;13.50;;2.50;;0.00;;82.00;;0.00
баранина (язык);;12.60;;16.10;;0.00;;195.00;;0.00
баранина вареная;;24.60;;21.40;;0.00;;291.00;;0.00
баранина жареная;;20.00;;24.00;;0.00;;320.00;;0.00
баранина тушеная;;20.00;;20.90;;0.00;;268.00;;0.00
баранки;;16.00;;1.00;;70.00;;336.00;;0.00
барбарис;;0.00;;0.00;;7.90;;29.00;;0.00
баренцев анчоус солено-сушеный;;49.00;;7.00;;0.00;;259.00;;0.00
баренцев кальмар кольца;;53.00;;2.00;;3.00;;242.00;;0.00
баренцев кальмар копченый;;53.00;;2.00;;3.00;;242.00;;0.00
баренцев кальмар солено-сушеный;;62.00;;2.00;;5.00;;286.00;;0.00
баренцев креветка со специями;;36.00;;4.00;;3.00;;192.00;;0.00
баренцев окинэль ломтики филе;;50.70;;8.60;;0.00;;280.00;;0.00
баренцев окинэль с перцем;;50.70;;8.60;;0.00;;280.00;;0.00
баренцев соломка рыбная оригинальная;;46.00;;3.00;;5.00;;231.00;;0.00
баренцев соломка рыбная подкопченная;;46.00;;3.00;;5.00;;231.00;;0.00
баренцев сомуль солено-сушеный;;65.80;;1.20;;0.00;;274.00;;0.00
баренцев ставридка золотистая подкопченная;;48.00;;8.00;;0.00;;264.00;;0.00
баренцев ставридка серебристая солено-сушеная;;48.00;;8.00;;0.00;;264.00;;0.00
баренцев тунец солено-сушеный;;57.80;;0.30;;0.00;;234.00;;0.00
баренцев чиксы рыбка с перцем;;50.70;;8.60;;0.00;;280.00;;0.00
бастурма турецкая;;14.80;;20.10;;0.00;;240.00;;0.00
батон нарезной;;7.50;;2.90;;50.90;;264.00;;0.00
батон подмосковный;;7.50;;2.60;;50.60;;261.00;;0.00
батон с пшеничными отрубями;;9.20;;2.80;;51.40;;273.00;;0.00
батон столичный;;7.70;;0.80;;50.20;;243.00;;0.00
батончик corny big злаковый с бананом и шоколадом;;6.10;;15.20;;65.60;;424.00;;0.00
батончик corny big злаковый с клюквой;;5.90;;7.40;;71.40;;377.00;;0.00
батончик corny big злаковый с лесными орехами;;6.40;;15.60;;63.20;;419.00;;0.00
батончик corny big злаковый с шоколадом;;7.00;;17.00;;62.90;;433.00;;0.00
батончик мюсли ego с бананом в шоколаде;;5.00;;13.50;;68.00;;416.00;;0.00
батончик мюсли ego с вишней в йогурте;;6.00;;14.00;;56.00;;416.00;;0.00
батончик мюсли ego с клубникой в йогурте;;4.00;;14.50;;67.50;;418.00;;0.00
батончик мюсли ego с лесными ягодами в йогурте;;4.00;;13.50;;69.50;;418.00;;0.00
батончик мюсли ego с черникой в йогурте;;5.50;;14.00;;67.50;;420.00;;0.00
батончик пульсар с миндалем в шоколадной глазури;;6.30;;13.90;;58.80;;385.00;;0.00
батончик фруктовый joyfield с абрикосом в шоколаде;;9.80;;0.60;;72.30;;352.00;;0.00
батончик фруктовый joyfield с абрикосом и яблоком;;3.70;;0.30;;74.80;;282.00;;0.00
батончик фруктовый joyfield с лимонником и папайей;;4.10;;0.30;;77.00;;302.00;;0.00
батончик фруктовый joyfield с полевой клубникой;;4.50;;0.40;;75.40;;286.00;;0.00
батончик фруктовый joyfield с черникой;;4.50;;0.40;;73.30;;273.00;;0.00
батончик фруктовый joyfield с черносливом в шоколаде;;7.80;;1.00;;67.70;;340.00;;0.00
батончик фруктовый joyfield с черносливом и ананасом;;3.40;;0.50;;75.10;;314.00;;0.00
батончик фруктовый joyfield с черносливом и яблоком;;2.10;;0.50;;70.20;;280.00;;0.00
бекон;;23.00;;45.00;;0.00;;500.00;;0.00
белая фасоль в томатном соусе;;5.40;;0.30;;20.30;;106.00;;0.00
белая фасоль консервированная;;6.70;;0.30;;17.40;;99.00;;0.00
белая фасоль пикантная в томатном соусе;;5.50;;3.00;;19.00;;125.00;;0.00
белуга бланшированная;;23.30;;15.60;;0.00;;234.00;;0.00
белуга свежая;;21.00;;0.70;;0.00;;147.00;;0.00
белуга сушеная;;69.90;;5.30;;0.00;;327.00;;0.00
белые жареные;;4.60;;11.50;;10.70;;162.00;;0.00
белые маринованные;;3.00;;0.50;;2.00;;24.00;;0.00
белые свежие;;3.70;;1.70;;3.40;;30.00;;0.00
белые сушеные;;23.40;;6.40;;31.00;;282.00;;0.00
белый амур;;18.60;;5.30;;0.00;;134.00;;0.00
березовый сок;;0.10;;0.00;;5.80;;24.00;;0.00
бефстроганов;;21.90;;27.40;;5.70;;355.00;;0.00
биойогурт останкинский 2.5%;;3.20;;2.50;;8.90;;71.00;;0.00
биокефир останкинский 0.1%;;3.00;;0.10;;3.60;;27.00;;0.00
бисквитник медовый с вареной сгущенкой;;5.30;;19.60;;46.10;;378.00;;0.00
бисквитник с начинкой маракуйя;;3.90;;17.20;;51.50;;375.00;;0.00
бисквитник шоколадный с шоколадной начинкой;;4.30;;18.30;;48.50;;378.00;;0.00
бифштекс;;27.80;;29.60;;1.70;;384.00;;0.00
блины;;6.10;;12.30;;26.00;;233.00;;0.00
блины с ветчиной;;8.90;;13.50;;33.90;;292.00;;0.00
блины с ветчиной и сыром;;14.30;;20.20;;35.30;;382.00;;0.00
блины с грибами;;6.70;;9.90;;21.00;;218.00;;0.00
блины с красной икрой;;12.70;;15.20;;33.70;;324.00;;0.00
блины с маслом;;8.00;;15.20;;40.60;;332.00;;0.00
блины с медом;;7.20;;13.50;;50.40;;350.00;;0.00
блины с семгой;;11.20;;14.90;;33.80;;313.00;;0.00
блины с сыром;;11.40;;18.30;;34.30;;348.00;;0.00
блины со сгущеным молоком;;8.10;;12.40;;41.70;;324.00;;0.00
блины со сметаной;;7.10;;16.30;;34.30;;311.00;;0.00
бобы;;6.00;;0.10;;8.50;;57.00;;0.00
бобы зеленые;;6.00;;0.10;;10.50;;60.00;;0.00
большой завтрак;;30.00;;30.00;;62.00;;640.00;;0.00
борщ из свежей капусты с мясом;;4.40;;3.60;;5.50;;63.00;;0.00
борщ летний;;1.10;;2.10;;6.40;;49.00;;0.00
борщ сибирский;;1.90;;1.50;;6.80;;48.00;;0.00
борщ сибирский с фрикадельками;;5.80;;5.30;;5.00;;82.00;;0.00
борщ украинский;;1.10;;2.20;;6.70;;49.00;;0.00
боярышник;;0.00;;0.00;;14.00;;52.00;;0.00
бразильский орех;;14.30;;66.40;;4.80;;656.00;;0.00
бренди;;0.00;;0.00;;0.50;;225.00;;0.00
брокколи замороженная;;2.70;;0.10;;4.90;;23.00;;0.00
брусника;;0.70;;0.50;;9.60;;43.00;;0.00
брусника моченая;;0.30;;0.20;;5.30;;24.00;;0.00
брюква;;1.20;;0.10;;8.90;;34.00;;0.00
брюква запеченная;;2.10;;1.60;;7.50;;51.00;;0.00
брюква тушеная;;1.20;;8.50;;8.60;;114.00;;0.00
брюссельская капуста замороженная;;4.00;;0.50;;8.00;;31.00;;0.00
бублик;;16.00;;1.00;;70.00;;336.00;;0.00
бублик украинский;;8.30;;6.40;;58.20;;328.00;;0.00
бублик ярмарочный;;8.50;;7.00;;58.30;;330.00;;0.00
буженина вареная;;16.40;;18.30;;1.00;;233.00;;0.00
бузинный сок;;1.10;;0.20;;5.10;;27.00;;0.00
буйволятина;;19.00;;13.20;;0.00;;194.00;;0.00
буйволятина вареная;;30.00;;17.40;;0.00;;276.00;;0.00
буйволятина жареная;;33.40;;23.20;;0.00;;342.00;;0.00
буйволятина тушеная;;24.40;;16.90;;0.00;;250.00;;0.00
булочка к чаю;;7.20;;6.20;;51.00;;317.00;;0.00
булочка калорийная;;7.30;;9.60;;62.40;;363.00;;0.00
булочка отрубная;;7.80;;1.80;;43.90;;220.00;;0.00
булочка столичная;;8.40;;2.20;;52.80;;270.00;;0.00
булочки 8 злаков;;13.90;;5.30;;43.70;;277.00;;0.00
булочки бургундские;;0.70;;1.70;;55.00;;266.00;;0.00
булочки бутербродные с кунжутом;;9.60;;4.20;;59.50;;320.00;;0.00
бульон говяжий;;0.60;;0.20;;0.00;;4.00;;0.00
бульон грибной;;0.50;;0.10;;0.00;;3.00;;0.00
бульон куриный;;2.00;;0.50;;0.30;;15.00;;0.00
бульон куриный крепкий домашний;;2.50;;1.20;;3.50;;36.00;;0.00
бульон куриный постный;;0.10;;0.00;;0.00;;1.00;;0.00
бульон рыбный;;0.40;;0.00;;0.00;;2.00;;0.00
бульонный кубик;;2.00;;2.00;;4.00;;40.00;;0.00
бутанику кадзукири;;3.20;;5.10;;24.20;;156.00;;0.00
бутанику рери;;16.60;;22.20;;3.40;;280.00;;0.00
ванилин;;0.10;;0.10;;12.70;;288.00;;0.00
варенец 2.5%;;2.80;;2.50;;4.00;;50.00;;0.00
варенец останкинский 2.5%;;2.80;;2.50;;4.20;;51.00;;0.00
вареники от ильиной с вишней;;7.60;;0.00;;18.70;;105.00;;0.00
вареники от ильиной с картофелем;;4.40;;3.70;;18.50;;125.00;;0.00
вареники от ильиной с клубникой;;7.90;;0.00;;17.60;;205.00;;0.00
вареники от ильиной с творогом;;12.00;;4.20;;17.00;;154.00;;0.00
вареники от ильиной с черникой;;7.60;;0.00;;18.70;;105.00;;0.00
вареники хвалынские с картошкой и грибами;;6.00;;3.60;;32.00;;184.00;;0.00
варенье из абрикосов;;0.00;;0.00;;62.00;;236.00;;0.00
варенье из айвы;;0.40;;0.20;;70.60;;273.00;;0.00
варенье из вишни;;0.00;;0.00;;64.00;;256.00;;0.00
варенье из груши;;0.30;;0.20;;70.80;;273.00;;0.00
варенье из клубники;;0.30;;0.10;;74.00;;285.00;;0.00
варенье из малины;;0.60;;0.20;;70.40;;273.00;;0.00
варенье из мандаринов;;0.70;;0.20;;75.90;;294.00;;0.00
варенье из персиков;;0.50;;0.00;;66.80;;258.00;;0.00
варенье из рябины черноплодной;;0.40;;0.00;;74.80;;387.00;;0.00
варенье из сливы;;0.40;;0.30;;74.20;;288.00;;0.00
варенье из черной смородины;;0.60;;0.10;;72.90;;284.00;;0.00
варенье из яблок;;0.40;;0.30;;68.20;;265.00;;0.00
васаби игай-яки;;4.50;;8.00;;11.50;;136.00;;0.00
васаби сэн сой премиум;;0.00;;9.00;;40.00;;241.00;;0.00
ватрушка с творожной начинкой;;10.00;;12.10;;46.10;;331.00;;0.00
вафли венские с карамелью;;8.10;;19.40;;53.30;;424.00;;0.00
вафли венские со взбитыми сливками;;4.80;;23.30;;50.50;;489.00;;0.00
вафли домашние с изюмом;;7.90;;21.70;;55.80;;452.00;;0.00
вафли домашние сахарные;;8.20;;23.10;;54.40;;459.00;;0.00
вафли с жирной начинкой;;3.40;;30.20;;64.70;;539.00;;0.00
вафли с фруктовой начинкой;;3.20;;2.80;;80.90;;350.00;;0.00
вафли яшкино с карамельной начинкой;;6.00;;15.20;;67.90;;430.00;;0.00
верблюжатина;;18.90;;9.40;;0.00;;160.00;;0.00
верблюжатина вареная;;29.80;;12.40;;0.00;;230.00;;0.00
верблюжатина жареная;;33.30;;16.50;;0.00;;281.00;;0.00
верблюжатина тушеная;;24.30;;12.10;;0.00;;205.00;;0.00
вермишель myllyn paras;;10.40;;1.10;;71.50;;344.00;;0.00
вермишель бефстроганов соевая;;48.90;;2.30;;8.90;;254.00;;0.00
вермут cinzano bianco белый;;0.00;;0.00;;18.00;;155.00;;0.00
вермут cinzano rose розовый;;0.00;;0.00;;14.50;;141.00;;0.00
вермут martini bianco белый;;0.00;;0.00;;17.00;;145.00;;0.00
вермут martini extra dry сухой;;0.00;;0.00;;2.50;;110.00;;0.00
вермут martini rose розовый;;0.00;;0.00;;16.00;;140.00;;0.00
вермут martini rosso красный;;0.00;;0.00;;15.00;;138.00;;0.00
вермут perlino bianco белый;;0.00;;0.00;;14.00;;139.00;;0.00
вермут perlino rosso красный;;0.00;;0.00;;14.00;;139.00;;0.00
ветчина;;14.00;;24.00;;0.00;;270.00;;0.00
ветчина в форме;;22.60;;20.90;;0.00;;278.00;;0.00
ветчина из индейки обезжиренная;;15.00;;1.00;;2.00;;77.00;;0.00
ветчина останкино нежная из индейки;;10.00;;10.00;;5.00;;154.00;;0.00
ветчина останкино нежная из свиного окорока;;8.00;;13.00;;3.00;;166.00;;0.00
вешенки маринованные;;1.00;;1.50;;0.00;;23.00;;0.00
вешенки свежие;;2.50;;0.30;;6.50;;38.00;;0.00
винегрет овощной;;1.80;;3.70;;8.80;;75.00;;0.00
винегрет особый;;6.30;;18.80;;15.90;;218.00;;0.00
вино asti mondoro белое полусладкое игристое;;0.00;;0.00;;9.00;;78.00;;0.00
вино riunite d'oro белое полусладкое игристое;;0.00;;0.00;;6.00;;69.00;;0.00
вино riunite lambrusco emilia красное полусладкое игристое;;0.00;;0.00;;6.00;;69.00;;0.00
вино riunite lambrusco rose розовое полусладкое игристое;;0.00;;0.00;;6.00;;69.00;;0.00
вино белое десертное 16%;;0.50;;0.00;;16.00;;153.00;;0.00
вино белое мускат;;0.00;;0.00;;5.00;;82.00;;0.00
вино белое рислинг;;0.00;;0.00;;4.00;;80.00;;0.00
вино белое совиньон;;0.00;;0.00;;2.00;;81.00;;0.00
вино белое столовое 11%;;0.20;;0.00;;0.20;;65.00;;0.00
вино белое сухое;;0.10;;0.00;;0.60;;66.00;;0.00
вино красное бургундское;;0.00;;0.00;;4.00;;86.00;;0.00
вино красное столовое 12%;;0.30;;0.00;;0.20;;71.00;;0.00
вино красное сухое;;0.20;;0.00;;0.30;;68.00;;0.00
виноград;;0.60;;0.20;;16.80;;65.00;;0.00
виноградные листья консервированные;;4.30;;2.00;;11.70;;69.00;;0.00
виноградные листья сырые;;5.60;;2.10;;6.30;;93.00;;0.00
виноградный компот;;0.50;;0.00;;19.70;;77.00;;0.00
виноградный сок;;0.30;;0.00;;14.00;;54.00;;0.00
вишневый компот;;0.60;;0.00;;24.50;;99.00;;0.00
вишневый нектар;;0.10;;0.00;;12.00;;50.00;;0.00
вишневый сок;;0.70;;0.00;;10.20;;47.00;;0.00
вишня;;0.80;;0.50;;11.30;;52.00;;0.00
вишня замороженная;;0.90;;0.40;;11.00;;46.00;;0.00
вобла вяленая;;46.40;;5.50;;0.00;;235.00;;0.00
вобла копченая;;31.10;;6.30;;0.00;;181.00;;0.00
вобла свежая;;18.00;;2.80;;0.00;;97.00;;0.00
вода;;0.00;;0.00;;0.00;;0.00;;0.00
вода минеральная;;0.00;;0.00;;0.00;;0.00;;0.00
водка;;0.00;;0.00;;0.10;;235.00;;0.00
галеты любятово классические;;11.10;;1.20;;76.00;;365.00;;0.00
гвоздика;;6.00;;20.10;;27.00;;323.00;;0.00
гематоген;;6.00;;3.00;;75.70;;354.00;;0.00
гематоген русский детский;;3.50;;2.90;;75.60;;343.00;;0.00
гематогенка;;4.90;;11.50;;81.00;;425.00;;0.00
гладкоголов;;8.00;;1.90;;0.00;;49.00;;0.00
глинтвейн august weinxof;;0.00;;0.00;;7.50;;85.00;;0.00
глинтвейн st lorenz;;0.00;;0.00;;8.00;;80.00;;0.00
глухарь;;18.00;;20.00;;0.50;;254.00;;0.00
говядина;;18.90;;12.40;;0.00;;187.00;;0.00
говядина (вымя);;12.30;;13.70;;0.00;;173.00;;0.00
говядина (вырезка);;18.60;;16.00;;0.00;;218.00;;0.00
говядина (грудинка копченая);;7.60;;66.80;;0.00;;632.00;;0.00
говядина (грудинка копчено-вареная);;10.00;;55.00;;0.00;;540.00;;0.00
говядина (грудинка);;19.30;;15.70;;0.00;;217.00;;0.00
говядина (легкие тушеные);;20.40;;3.70;;0.00;;120.00;;0.00
говядина (легкие);;16.20;;2.50;;0.00;;92.00;;0.00
говядина (лопаточная часть);;19.40;;6.60;;0.00;;137.00;;0.00
говядина (мозги);;11.70;;8.60;;0.00;;124.00;;0.00
говядина (пашина);;18.90;;16.60;;0.00;;225.00;;0.00
говядина (печень жареная);;22.90;;10.20;;3.90;;199.00;;0.00
говядина (печень нежирная);;17.40;;3.10;;0.00;;98.00;;0.00
говядина (печень);;20.00;;3.10;;4.00;;125.00;;0.00
говядина (покромка);;18.60;;16.00;;0.00;;218.00;;0.00
говядина (почки);;15.20;;2.80;;0.00;;86.00;;0.00
говядина (сердце);;16.00;;3.50;;0.00;;96.00;;0.00
говядина (тазобедренная часть);;20.20;;6.40;;0.00;;138.00;;0.00
говядина (уши);;25.20;;2.30;;0.00;;122.00;;0.00
говядина (филейная вырезка);;20.10;;3.50;;0.00;;113.00;;0.00
говядина (шейная часть);;19.40;;6.40;;0.00;;135.00;;0.00
говядина (язык вареный);;23.90;;15.00;;0.00;;231.00;;0.00
говядина (язык);;12.20;;10.90;;0.00;;146.00;;0.00
говядина вареная;;25.80;;16.80;;0.00;;254.00;;0.00
